"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...1107",3,60,105,"elevee",312.947910877278,156.473955438639,435,298.178021630935,1,329.853229844342
"1...1108",4,60,105,"elevee",312.947910877278,156.473955438639,600,288.089162737171,1,321.169060161025
"1...1109",5,60,105,"elevee",312.947910877278,156.473955438639,765,281.573383821523,1,315.232010921384
"1...1110",6,60,105,"elevee",312.947910877278,156.473955438639,930,276.829275688477,1,310.731323701883
"1...1111",7,60,105,"elevee",312.947910877278,156.473955438639,1095,273.120619700985,1,307.10553606261
"1...1112",8,60,105,"elevee",312.947910877278,156.473955438639,1260,270.083681203491,1,304.066721175168
"1...1113",9,60,105,"elevee",312.947910877278,156.473955438639,1425,267.514962192257,1,301.448665606281
"1...1114",10,60,105,"elevee",312.947910877278,156.473955438639,1590,265.29013646572,1,299.147037427737
"1...1115",11,60,105,"elevee",312.947910877278,156.473955438639,1755,263.328099140192,1,297.092143512514
"1...1116",12,60,105,"elevee",312.947910877278,156.473955438639,1920,261.57318931033,1,295.23514276455
"1...1117",13,60,105,"elevee",312.947910877278,156.473955438639,2085,259.985636354184,1,293.540481323312
"1...1118",14,60,105,"elevee",312.947910877278,156.473955438639,2250,258.536076506729,1,291.981467716543
"1...1119",15,60,105,"elevee",312.947910877278,156.473955438639,2415,257.202233047762,1,290.537547000155
"1...1120",16,60,105,"elevee",312.947910877278,156.473955438639,2580,255.966815606958,1,289.192548037843
"1...1121",17,60,105,"elevee",312.947910877278,156.473955438639,2745,254.816140548854,1,287.93351520659
"1...1122",18,60,105,"elevee",312.947910877278,156.473955438639,2910,253.739195730158,1,286.749905418178
"1...1123",19,60,105,"elevee",312.947910877278,156.473955438639,3075,252.726988911273,1,285.633021456968
"1...1124",20,60,105,"elevee",312.947910877278,156.473955438639,3240,251.772082837354,1,284.575602790349
"1...1125",2,90,105,"elevee",312.947910877278,156.473955438639,300,312.947910877278,1,349.657720096371
"1...1126",3,90,105,"elevee",312.947910877278,156.473955438639,495,293.884469057589,1,335.969756051945
"1...1127",4,90,105,"elevee",312.947910877278,156.473955438639,690,284.246361259325,1,328.131257174886
"1...1128",5,90,105,"elevee",312.947910877278,156.473955438639,885,277.999039089305,1,322.625631753828
"1...1129",6,90,105,"elevee",312.947910877278,156.473955438639,1080,273.42605288005,1,318.363674955886
"1...1130",7,90,105,"elevee",312.947910877278,156.473955438639,1275,269.833101928008,1,314.875192438141
"1...1131",8,90,105,"elevee",312.947910877278,156.473955438639,1470,266.878093724232,1,311.915547029986
"1...1132",9,90,105,"elevee",312.947910877278,156.473955438639,1665,264.369525288891,1,309.341246830754
"1...1133",10,90,105,"elevee",312.947910877278,156.473955438639,1860,262.190150324071,1,307.060817978456
"1...1134",11,90,105,"elevee",312.947910877278,156.473955438639,2055,260.263267536933,1,305.012276111973
"1...1135",12,90,105,"elevee",312.947910877278,156.473955438639,2250,258.536076506729,1,303.151616490842
"1...1136",13,90,105,"elevee",312.947910877278,156.473955438639,2445,256.97073333725,1,301.446432066031
"1...1137",14,90,105,"elevee",312.947910877278,156.473955438639,2640,255.539212396477,1,299.872140428586
"1...1138",15,90,105,"elevee",312.947910877278,156.473955438639,2835,254.220190934942,1,298.409634975726
"1...1139",16,90,105,"elevee",312.947910877278,156.473955438639,3030,252.997074197167,1,297.043759329971
"1...1140",17,90,105,"elevee",312.947910877278,156.473955438639,3225,251.856695839367,1,295.762280692482
"1...1141",18,90,105,"elevee",312.947910877278,156.473955438639,3420,250.788435095637,1,294.555177857024
"1...1142",19,90,105,"elevee",312.947910877278,156.473955438639,3615,249.783600393828,1,293.41413452222
"1...1143",20,90,105,"elevee",312.947910877278,156.473955438639,3810,248.83498862328,1,292.332170530469
"1...1144",2,120,105,"elevee",312.947910877278,156.473955438639,330,308.754102534943,1,353.711977433519
"1...1145",3,120,105,"elevee",312.947910877278,156.473955438639,555,290.360414982835,1,341.631733764515
"1...1146",4,120,105,"elevee",312.947910877278,156.473955438639,780,281.084237498266,1,334.456985241352
"1...1147",5,120,105,"elevee",312.947910877278,156.473955438639,1005,275.042251108288,1,329.27202497873
