"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","P_coggan"
"5764",10,210,195,"faible",350.281232790258,175.140616395129,3840,220.130501655817,246.832947978045
"5765",11,210,195,"faible",350.281232790258,175.140616395129,4245,216.961283788324,242.600813729277
"5766",12,210,195,"faible",350.281232790258,175.140616395129,4650,214.109261278669,238.716066671027
"5767",13,210,195,"faible",350.281232790258,175.140616395129,5055,211.516339940937,235.119336530777
"5768",1,225,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5769",2,225,195,"faible",350.281232790258,175.140616395129,615,294.52521183374,326.205259708924
"5770",3,225,195,"faible",350.281232790258,175.140616395129,1035,267.934800444803,302.68821937409
"5771",4,225,195,"faible",350.281232790258,175.140616395129,1455,253.76739229702,288.43812768557
"5772",5,225,195,"faible",350.281232790258,175.140616395129,1875,244.25018578099,278.035671077928
"5773",6,225,195,"faible",350.281232790258,175.140616395129,2295,237.112827243112,269.761302262401
"5774",7,225,195,"faible",350.281232790258,175.140616395129,2715,231.409281487884,262.846327492882
"5775",8,225,195,"faible",350.281232790258,175.140616395129,3135,226.660745461044,256.878452786672
"5776",9,225,195,"faible",350.281232790258,175.140616395129,3555,222.592906086059,251.60986983259
"5777",10,225,195,"faible",350.281232790258,175.140616395129,3975,219.034468389281,246.879527054917
"5778",11,225,195,"faible",350.281232790258,175.140616395129,4395,215.871473819336,242.57661050231
"5779",12,225,195,"faible",350.281232790258,175.140616395129,4815,213.024341156661,238.621478985752
"5780",13,225,195,"faible",350.281232790258,175.140616395129,5235,210.435326247425,234.954893336458
"5781",1,240,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5782",2,240,195,"faible",350.281232790258,175.140616395129,630,293.11089830392,326.359421748512
"5783",3,240,195,"faible",350.281232790258,175.140616395129,1065,266.669522840233,303.048747012996
"5784",4,240,195,"faible",350.281232790258,175.140616395129,1500,252.584891102517,288.826529952002
"5785",5,240,195,"faible",350.281232790258,175.140616395129,1935,243.114899854162,278.392158787215
"5786",6,240,195,"faible",350.281232790258,175.140616395129,2370,236.006885325222,270.06243296892
"5787",7,240,195,"faible",350.281232790258,175.140616395129,2805,230.322846807307,263.082104563966
"5788",8,240,195,"faible",350.281232790258,175.140616395129,3240,225.587953721124,257.044560533097
"5789",9,240,195,"faible",350.281232790258,175.140616395129,3675,221.530034808878,251.704598040805
"5790",10,240,195,"faible",350.281232790258,175.140616395129,4110,217.97903496054,246.9024116576
"5791",11,240,195,"faible",350.281232790258,175.140616395129,4545,214.821755657708,242.527783936692
"5792",12,240,195,"faible",350.281232790258,175.140616395129,4980,211.979103790724,238.501341997463
"5793",1,255,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5794",2,255,195,"faible",350.281232790258,175.140616395129,645,291.750472818421,326.52214688934
"5795",3,255,195,"faible",350.281232790258,175.140616395129,1095,265.454500107949,303.405122897283
"5796",4,255,195,"faible",350.281232790258,175.140616395129,1545,251.448488169413,289.203746329478
"5797",5,255,195,"faible",350.281232790258,175.140616395129,1995,242.022885897304,278.733457637007
"5798",6,255,195,"faible",350.281232790258,175.140616395129,2445,234.94229328649,270.345880515272
"5799",7,255,195,"faible",350.281232790258,175.140616395129,2895,229.276406817376,263.298492324912
"5800",8,255,195,"faible",350.281232790258,175.140616395129,3345,224.554166498854,257.189995993573
"5801",9,255,195,"faible",350.281232790258,175.140616395129,3795,220.505422158265,251.777594548223
"5802",10,255,195,"faible",350.281232790258,175.140616395129,4245,216.961283788324,246.902611928368
"5803",11,255,195,"faible",350.281232790258,175.140616395129,4695,213.80926479835,242.455354717808
"5804",12,255,195,"faible",350.281232790258,175.140616395129,5145,210.970728120094,238.356670863341
"5805",1,270,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5806",2,270,195,"faible",350.281232790258,175.140616395129,660,290.440434145975,326.692412936522
"5807",3,270,195,"faible",350.281232790258,175.140616395129,1125,264.28612680303,303.756988130797
"5808",4,270,195,"faible",350.281232790258,175.140616395129,1590,250.354834600211,289.569921393956
"5809",5,270,195,"faible",350.281232790258,175.140616395129,2055,240.971016107137,279.060026552681
"5810",6,270,195,"faible",350.281232790258,175.140616395129,2520,233.91608907045,270.612300996824
"5811",7,270,195,"faible",350.281232790258,175.140616395129,2985,228.267123109048,263.496271832059
"5812",8,270,195,"faible",350.281232790258,175.140616395129,3450,223.556639256471,257.315618445731
"5813",9,270,195,"faible",350.281232790258,175.140616395129,3915,219.516396358323,251.829764786859
"5814",10,270,195,"faible",350.281232790258,175.140616395129,4380,215.978600612952,246.881056070656
"5815",11,270,195,"faible",350.281232790258,175.140616395129,4845,212.831433247723,242.360255661913
"5816",12,270,195,"faible",350.281232790258,175.140616395129,5310,209.996683941807,238.188387982297
"5817",1,285,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5818",2,285,195,"faible",350.281232790258,175.140616395129,675,289.177588820207,326.869306266507
"5819",3,285,195,"faible",350.281232790258,175.140616395129,1155,263.161155257516,304.104053702059
"5820",4,285,195,"faible",350.281232790258,175.140616395129,1635,249.300923342843,289.925223428836
