"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...285",13,75,120,120,"elevee",320,160,3000,260.228260150226,1,301.38263868521
"1...286",16,72.5,60,120,"elevee",320,160,2820,261.833867587915,1,285.386599913101
"1...287",19,70,60,120,"elevee",320,160,3360,257.286796239256,1,280.456925080984
"1...288",1,95,420,135,"elevee",320,160,135,414.224645054717,1,414.224645054717
"1...289",2,90,300,135,"elevee",320,160,570,303.341788319281,1,366.287062908882
"1...290",4,85,240,135,"elevee",320,160,1260,282.748851176078,1,345.707049980627
"1...291",6,82.5,180,135,"elevee",320,160,1710,274.820359888373,1,326.7904472445
"1...292",8,80,120,135,"elevee",320,160,1920,271.813450470577,1,310.112031910209
"1...293",10,77.5,120,135,"elevee",320,160,2430,265.699279775734,1,303.534962382801
"1...294",13,75,120,135,"elevee",320,160,3195,258.594718537523,1,295.66636721416
"1...295",16,72.5,60,135,"elevee",320,160,3060,259.714763076706,1,280.706812965895
"1...296",19,70,60,135,"elevee",320,160,3645,255.172055384989,1,275.826760385591
"1...297",1,95,420,150,"elevee",320,160,150,401.792066327416,1,401.792066327416
"1...298",2,90,300,150,"elevee",320,160,600,302.006012859709,1,359.133298001585
"1...299",4,85,240,150,"elevee",320,160,1320,281.54233161081,1,339.088063965529
"1...300",6,82.5,180,150,"elevee",320,160,1800,273.490736183885,1,320.915725548683
"1...301",8,80,120,150,"elevee",320,160,2040,270.240180399247,1,305.016943093962
"1...302",10,77.5,120,150,"elevee",320,160,2580,264.142586358712,1,298.523679329519
"1...303",13,75,120,150,"elevee",320,160,3390,257.053078259362,1,290.760961243907
"1...304",16,72.5,60,150,"elevee",320,160,3300,257.754232199044,1,276.66732993805
"1...305",19,70,60,150,"elevee",320,160,3930,253.218248857277,1,271.829906411674
"1...306",1,95,420,165,"elevee",320,160,165,390.545816785215,1,390.545816785215
"1...307",2,90,300,165,"elevee",320,160,630,300.743007139339,1,353.037701914431
"1...308",4,85,240,165,"elevee",320,160,1380,280.388139080333,1,333.380502668761
"1...309",6,82.5,180,165,"elevee",320,160,1890,272.222641197774,1,315.825320674774
"1...310",8,80,120,165,"elevee",320,160,2160,268.756428505903,1,300.588814286669
"1...311",10,77.5,120,165,"elevee",320,160,2730,262.677424033908,1,294.166874198029
"1...312",13,75,120,165,"elevee",320,160,3585,255.604831592436,1,286.493962003221
"1...313",16,72.5,60,165,"elevee",320,160,3540,255.929413748021,1,273.121794512123
"1...314",19,70,60,165,"elevee",320,160,4215,251.40214137325,1,268.322276062199
"1...315",1,95,420,180,"elevee",320,160,180,380.27827354314,1,380.27827354314
"1...316",2,90,300,180,"elevee",320,160,660,299.536440638896,1,347.747020504184
"1...317",4,85,240,180,"elevee",320,160,1440,279.282613785091,1,328.386873852485
"1...318",6,82.5,180,180,"elevee",320,160,1980,271.011895485677,1,311.353101333239
"1...319",8,80,120,180,"elevee",320,160,2280,267.353657370707,1,296.687510812556
"1...320",10,77.5,120,180,"elevee",320,160,2880,261.288562430479,1,290.32082169701
"1...321",13,75,120,180,"elevee",320,160,3780,254.228603469883,1,282.719346110047
"1...322",16,72.5,60,180,"elevee",320,160,3780,254.228603469883,1,269.974435149135
"1...323",19,70,60,180,"elevee",320,160,4500,249.703058559573,1,265.200147103183
"1...324",1,95,420,195,"elevee",320,160,195,370.832974733202,1,370.832974733202
"1...325",2,90,300,195,"elevee",320,160,690,298.382213065475,1,343.093357696329
"1...326",4,85,240,195,"elevee",320,160,1500,278.222297800092,1,323.965229861384
"1...327",6,82.5,180,195,"elevee",320,160,2070,269.860044011241,1,307.385414203957
"1...328",8,80,120,195,"elevee",320,160,2400,266.018034480786,1,293.204183940147
