"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","P_coggan"
"7416",6,240,270,"moyenne",331.614571833768,165.807285916884,2820,242.231902345027,271.498151516545
"7417",7,240,270,"moyenne",331.614571833768,165.807285916884,3330,237.986339805435,266.919447978481
"7418",8,240,270,"moyenne",331.614571833768,165.807285916884,3840,234.412071013691,262.939615086141
"7419",9,240,270,"moyenne",331.614571833768,165.807285916884,4350,231.324386348209,259.413942914239
"7420",10,240,270,"moyenne",331.614571833768,165.807285916884,4860,228.605694963515,256.245247291415
"7421",11,240,270,"moyenne",331.614571833768,165.807285916884,5370,226.176527734321,253.364913044412
"7422",1,255,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7423",2,255,270,"moyenne",331.614571833768,165.807285916884,795,280.538772761663,305.950603001326
"7424",3,255,270,"moyenne",331.614571833768,165.807285916884,1320,263.367228278208,292.94456483494
"7425",4,255,270,"moyenne",331.614571833768,165.807285916884,1845,253.591581031123,284.264169115113
"7426",5,255,270,"moyenne",331.614571833768,165.807285916884,2370,246.781240012437,277.619373663741
"7427",6,255,270,"moyenne",331.614571833768,165.807285916884,2895,241.555354355039,272.194453137292
"7428",7,255,270,"moyenne",331.614571833768,165.807285916884,3420,237.313265375756,267.592260598701
"7429",8,255,270,"moyenne",331.614571833768,165.807285916884,3945,233.74119656305,263.585999829399
"7430",9,255,270,"moyenne",331.614571833768,165.807285916884,4470,230.654924782468,260.032790980546
"7431",10,255,270,"moyenne",331.614571833768,165.807285916884,4995,227.93714107348,256.83635802786
"7432",1,270,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7433",2,270,270,"moyenne",331.614571833768,165.807285916884,810,279.83483713098,306.457033056456
"7434",3,270,270,"moyenne",331.614571833768,165.807285916884,1350,262.680733965279,293.607780696426
"7435",4,270,270,"moyenne",331.614571833768,165.807285916884,1890,252.920468260335,284.963751909412
"7436",5,270,270,"moyenne",331.614571833768,165.807285916884,2430,246.119066933953,278.316421406065
"7437",6,270,270,"moyenne",331.614571833768,165.807285916884,2970,240.898459547653,272.873831931941
"7438",7,270,270,"moyenne",331.614571833768,165.807285916884,3510,236.659597382095,268.247573372132
"7439",8,270,270,"moyenne",331.614571833768,165.807285916884,4050,233.089552076512,264.214563143595
"7440",9,270,270,"moyenne",331.614571833768,165.807285916884,4590,230.004564800468,260.633650666926
"7441",10,270,270,"moyenne",331.614571833768,165.807285916884,5130,227.287593882663,257.409409947096
